TIME,BVP,ACCX,ACCY,ACCZ,GSR,ST,LAB
1.062500,-25.633015,28.000000,8.000000,57.000000,0.270328,34.410000,0.000000
1.078125,-23.834286,28.000000,8.000000,57.000000,0.270328,34.410000,0.000000
1.093750,-22.142520,28.000000,7.000000,58.000000,0.270328,34.410000,0.000000
1.109375,-20.583244,28.000000,7.000000,58.000000,0.270328,34.410000,0.000000
1.125000,-19.037052,28.000000,7.000000,59.000000,0.270328,34.410000,0.000000
1.140625,-17.414840,28.000000,7.000000,59.000000,0.270328,34.410000,0.000000
1.156250,-15.727963,28.000000,7.000000,59.000000,0.270328,34.410000,0.000000
1.171875,-14.105469,28.000000,7.000000,59.000000,0.270328,34.410000,0.000000
1.187500,-12.661114,28.000000,9.000000,59.000000,0.270328,34.410000,0.000000
1.203125,-11.226181,28.000000,9.000000,59.000000,0.270328,34.410000,0.000000
1.218750,-9.499805,27.000000,9.000000,57.000000,0.270328,34.410000,0.000000
1.234375,-7.267273,27.000000,9.000000,57.000000,0.270328,34.410000,0.000000
1.250000,-4.605993,27.000000,10.000000,56.000000,0.270328,34.410000,0.000000
1.265625,-1.881697,27.000000,10.000000,56.000000,0.270328,34.410000,0.000000
1.281250,0.425518,28.000000,10.000000,56.000000,0.270328,34.410000,0.000000
1.296875,1.980770,28.000000,10.000000,56.000000,0.270328,34.410000,0.000000
1.312500,2.805824,27.000000,9.000000,56.000000,0.270328,34.410000,0.000000
1.328125,3.178951,27.000000,9.000000,56.000000,0.270328,34.410000,0.000000
1.343750,3.423357,28.000000,8.000000,56.000000,0.270328,34.410000,0.000000
1.359375,3.582759,28.000000,8.000000,56.000000,0.270328,34.410000,0.000000
1.375000,3.422905,28.000000,8.000000,56.000000,0.270328,34.410000,0.000000
1.390625,2.620783,28.000000,8.000000,56.000000,0.270328,34.410000,0.000000
1.406250,0.987079,28.000000,8.000000,56.000000,0.270328,34.410000,0.000000
1.421875,-1.274931,28.000000,8.000000,56.000000,0.270328,34.410000,0.000000
1.437500,-3.644273,27.000000,8.000000,56.000000,0.270328,34.410000,0.000000
1.453125,-5.495388,27.000000,8.000000,56.000000,0.270328,34.410000,0.000000
1.468750,-6.401687,27.000000,8.000000,57.000000,0.270328,34.410000,0.000000
1.484375,-6.291580,27.000000,8.000000,57.000000,0.270328,34.410000,0.000000
1.500000,-5.451832,27.000000,9.000000,57.000000,0.269047,34.410000,0.000000
1.515625,-4.340531,27.000000,9.000000,57.000000,0.269047,34.410000,0.000000
1.531250,-3.399752,27.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.546875,-2.908429,27.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.562500,-2.964204,27.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.578125,-3.474546,27.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.593750,-4.189639,27.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.609375,-4.782487,27.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.625000,-4.950250,27.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.640625,-4.527474,27.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.656250,-3.509475,28.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.671875,-2.052894,28.000000,8.000000,57.000000,0.269047,34.410000,0.000000
