148225329 ;1;-8699.0;10767.0;-7526.0;31.0;-14357.0;-4202.0;119.0;-23.0;79.0;199;201;
148225391 ;2;-2641.0;5398.0;-3555.0;3001.0;-11525.0;-1856.0;119.0;-23.0;79.0;1;19;
148225394 ;3;5115.0;6314.0;4437.0;162.0;-6503.0;-5418.0;74.0;2.0;-66.0;77;223;
148225398 ;4;4463.0;3668.0;5353.0;-366.0;1875.0;-5893.0;74.0;2.0;-66.0;227;213;
148225399 ;5;-1618.0;1557.0;2889.0;19.0;4868.0;-7302.0;55.0;13.0;-81.0;190;222;
148225400 ;6;-2757.0;-102.0;3456.0;-731.0;5029.0;-7272.0;55.0;13.0;-81.0;205;117;
148225406 ;7;-1979.0;-735.0;2118.0;-549.0;4885.0;-5562.0;49.0;21.0;-77.0;2;230;
148225407 ;8;-335.0;-898.0;516.0;-273.0;2898.0;-4885.0;49.0;21.0;-77.0;122;206;
148225414 ;9;1778.0;-1866.0;-95.0;-737.0;989.0;-4754.0;45.0;33.0;-71.0;214;50;
148225419 ;10;3370.0;-2225.0;-264.0;-964.0;106.0;-4578.0;45.0;33.0;-71.0;91;169;
148225428 ;11;4150.0;-2209.0;-1041.0;-1026.0;-408.0;-4533.0;41.0;41.0;-61.0;103;177;
148225437 ;12;6103.0;-2286.0;-1621.0;-954.0;-2366.0;-4272.0;41.0;41.0;-61.0;30;92;
148225469 ;13;8503.0;-4138.0;-1385.0;-1050.0;-4619.0;-3174.0;27.0;45.0;-65.0;59;127;
148225472 ;14;10003.0;-6412.0;257.0;-775.0;-5372.0;-1738.0;27.0;45.0;-65.0;103;81;
148225473 ;15;7935.0;-7226.0;2245.0;-823.0;-4493.0;-821.0;10.0;48.0;-68.0;174;202;
148225482 ;16;7658.0;-6795.0;2818.0;-824.0;-3107.0;-666.0;10.0;48.0;-68.0;148;172;
148225488 ;17;6886.0;-3975.0;3314.0;-256.0;-2056.0;-778.0;2.0;50.0;-64.0;117;69;
148225542 ;18;6704.0;1322.0;7207.0;232.0;-370.0;-227.0;2.0;50.0;-64.0;123;115;
148225544 ;19;6053.0;-2891.0;4678.0;-1601.0;-290.0;2542.0;-6.0;50.0;-66.0;109;105;
148225545 ;20;-6374.0;-8317.0;1989.0;-654.0;-202.0;3280.0;-6.0;50.0;-66.0;213;177;
148225554 ;21;191.0;-5170.0;-208.0;-810.0;-1566.0;4507.0;-2.0;52.0;-64.0;47;219;
148225555 ;22;2971.0;-4328.0;-867.0;-164.0;-1585.0;5277.0;-2.0;52.0;-64.0;74;44;
148225560 ;23;3045.0;-3987.0;-580.0;819.0;-92.0;4706.0;10.0;48.0;-60.0;145;21;
148225563 ;24;185.0;-3630.0;104.0;1570.0;1774.0;4325.0;10.0;48.0;-60.0;52;248;
148225571 ;25;-2761.0;-3602.0;464.0;2175.0;4160.0;4577.0;20.0;46.0;-66.0;231;147;
148225577 ;26;-7196.0;-2612.0;-1145.0;3064.0;6681.0;4538.0;20.0;46.0;-66.0;78;82;
148225608 ;27;-14103.0;-258.0;-295.0;3930.0;9488.0;3531.0;42.0;36.0;-64.0;76;160;
148225611 ;28;-18407.0;2584.0;3692.0;1271.0;13305.0;1849.0;42.0;36.0;-64.0;39;209;
148225612 ;29;-14592.0;670.0;1583.0;-540.0;15100.0;2288.0;61.0;29.0;-59.0;16;120;
148225620 ;30;-10949.0;-1762.0;-8066.0;1723.0;13119.0;5042.0;61.0;29.0;-59.0;227;169;
148225628 ;31;-11955.0;4050.0;-12864.0;2400.0;4677.0;3581.0;92.0;22.0;-36.0;236;222;
148225659 ;32;-18377.0;12056.0;-12445.0;1614.0;-4217.0;-1031.0;92.0;22.0;-36.0;189;85;
148225692 ;33;-12075.0;-2794.0;-13655.0;3008.0;-9023.0;-1950.0;100.0;16.0;-22.0;141;163;
148225693 ;34;-9227.0;-844.0;-6294.0;5221.0;-10962.0;-4269.0;100.0;16.0;-22.0;56;180;
148225697 ;35;-6135.0;2360.0;-2730.0;4494.0;-8937.0;-6245.0;91.0;17.0;-49.0;25;41;
148225698 ;36;-4125.0;2443.0;2650.0;2638.0;-4880.0;-6462.0;91.0;17.0;-49.0;46;214;
148225699 ;37;-655.0;682.0;2461.0;1830.0;-2895.0;-5626.0;59.0;19.0;-73.0;213;87;
148225729 ;38;1169.0;-318.0;3939.0;2005.0;-1793.0;-4861.0;59.0;19.0;-73.0;171;146;
148225732 ;40;290.0;194.0;3756.0;593.0;-364.0;-5443.0;43.0;25.0;-83.0;92;79;
148225737 ;42;7595.0;-70.0;2888.0;-309.0;-3883.0;-4174.0;30.0;28.0;-84.0;60;172;
148225767 ;43;12062.0;-1473.0;2715.0;-731.0;-5574.0;-2810.0;17.0;31.0;-85.0;155;197;
148225769 ;44;14709.0;-2983.0;2438.0;-991.0;-5871.0;-1783.0;17.0;31.0;-85.0;211;231;
148225780 ;45;15873.0;-5569.0;3403.0;-1426.0;-4339.0;-1136.0;-4.0;28.0;-90.0;194;240;
148225781 ;46;14918.0;-7783.0;2264.0;-1196.0;-2897.0;-16.0;-4.0;28.0;-90.0;207;109;
148225788 ;47;9536.0;-7284.0;3270.0;-583.0;-2244.0;850.0;-21.0;43.0;-85.0;252;112;
148225797 ;48;4654.0;-4466.0;6610.0;6.0;-3043.0;1605.0;-21.0;43.0;-85.0;34;74;
148225843 ;49;2023.0;234.0;8150.0;-911.0;-3818.0;2517.0;-23.0;37.0;-85.0;49;9;
148225846 ;50;2320.0;-1336.0;3331.0;-1551.0;-2934.0;5040.0;-23.0;37.0;-85.0;41;143;
