148405669 ;2;1871.0;-2799.0;-4321.0;2246.0;560.0;2353.0;27.0;33.0;-75.0;192;192;
148405673 ;3;1465.0;-3137.0;-3858.0;2858.0;1014.0;2811.0;28.0;70.0;30.0;46;166;
148405706 ;4;774.0;-3207.0;-3230.0;3414.0;1372.0;3288.0;28.0;70.0;30.0;32;162;
148405709 ;5;459.0;-3086.0;-2368.0;3902.0;1601.0;3768.0;30.0;64.0;20.0;98;88;
148405713 ;6;337.0;-2883.0;-878.0;4273.0;1512.0;4198.0;30.0;64.0;20.0;87;43;
148405714 ;7;301.0;-2903.0;1331.0;4595.0;889.0;4463.0;42.0;56.0;12.0;162;146;
148405721 ;8;-493.0;-2770.0;4041.0;4706.0;58.0;4602.0;42.0;56.0;12.0;101;109;
148405783 ;9;-2093.0;-1933.0;6546.0;4029.0;1464.0;4707.0;55.0;51.0;3.0;126;126;
148405785 ;10;-6775.0;-1206.0;10909.0;2856.0;1342.0;4007.0;55.0;51.0;3.0;71;253;
148405793 ;11;-11732.0;-1137.0;13524.0;1639.0;1571.0;2561.0;70.0;42.0;-10.0;203;97;
148405794 ;12;-15382.0;-2316.0;15481.0;364.0;1576.0;2004.0;70.0;42.0;-10.0;93;189;
148405796 ;13;-15291.0;-8489.0;8900.0;-1372.0;-593.0;1692.0;78.0;34.0;-10.0;44;186;
148405799 ;14;-14425.0;-9397.0;2476.0;-1361.0;-5327.0;1390.0;78.0;34.0;-10.0;30;240;
148405800 ;15;-16796.0;-3855.0;-2170.0;-441.0;-7960.0;-1821.0;83.0;31.0;-9.0;9;97;
148405810 ;16;-9688.0;9602.0;9185.0;-696.0;-6862.0;-2684.0;83.0;31.0;-9.0;36;250;
148405813 ;17;-438.0;6838.0;12973.0;1227.0;-2591.0;438.0;74.0;30.0;-20.0;225;151;
148405845 ;18;2042.0;776.0;13627.0;-4672.0;2563.0;-329.0;74.0;30.0;-20.0;122;234;
148405848 ;19;-2166.0;-529.0;13664.0;-2046.0;4575.0;-3912.0;70.0;36.0;-24.0;34;10;
148405853 ;20;-2746.0;-1089.0;7399.0;-2435.0;5532.0;-4333.0;70.0;36.0;-24.0;173;185;
148405854 ;21;-2364.0;-524.0;3793.0;-3885.0;4059.0;-3861.0;66.0;36.0;-12.0;170;90;
148405863 ;22;-2963.0;-1714.0;255.0;-3959.0;2711.0;-4129.0;66.0;36.0;-12.0;40;84;
