,dur_max,dur_mean,dur_min,latency,n_peak,pha_auc,pha_max,pha_mean,pha_min,pha_std,pks_max,pks_mean,pks_min,slp_max,slp_mean,slp_min
285.0,0.0,0.0,0.0,20.0,1,0.01021336171404352,0.08532403906213726,0.01021336171404352,-0.0035421507682631415,0.021732787567586422,0.08532403906213726,0.08532403906213726,0.08532403906213726,3.5005899461185104,3.5005899461185104,3.5005899461185104
290.0,4.5,4.5,4.5,15.0,2,0.0039904018072106345,1.2875691185543392,0.0039904018072106345,-1.556157856330358,0.3827009974264903,1.2875691185543392,0.6864465788082382,0.08532403906213726,3.5005899461185104,3.5005899461185104,3.5005899461185104
295.0,6.5,5.5,4.5,10.0,3,0.01849624650445424,1.2875691185543392,0.01849624650445424,-1.556157856330358,0.3838309918457043,1.2875691185543392,0.4927635778279849,0.08532403906213726,3.5005899461185104,3.5005899461185104,3.5005899461185104
300.0,6.5,5.5,4.5,5.0,3,0.017235613087602186,1.2875691185543392,0.017235613087602186,-1.556157856330358,0.3839035532530592,1.2875691185543392,0.4927635778279849,0.08532403906213726,3.5005899461185104,3.5005899461185104,3.5005899461185104
305.0,6.5,6.5,6.5,0.0,3,0.009101186168587969,1.2875691185543392,0.009101186168587969,-1.556157856330358,0.3836700464311114,1.2875691185543392,0.4927635778279849,0.08532403906213726,0.0,0.0,0.0
310.0,0.0,0.0,0.0,1.0,1,0.019475285752755127,0.10539757586747833,0.019475285752755127,-0.011629635891310164,0.0330840069039088,0.10539757586747833,0.10539757586747833,0.10539757586747833,0.0,0.0,0.0
315.0,3.0,3.0,3.0,15.5,2,0.0001745650489533473,0.454948926225039,0.0001745650489533473,-0.535845057500788,0.13410138634291613,0.454948926225039,0.24448220796603026,0.03401548970702151,2.0000233847945563,1.308176849373306,0.6163303139520553
320.0,5.0,4.0,3.0,10.5,2,0.00565566919146642,0.454948926225039,0.00565566919146642,-0.535845057500788,0.13431256546253276,0.454948926225039,0.24448220796603026,0.03401548970702151,2.0000233847945563,1.308176849373306,0.6163303139520553
325.0,5.0,4.0,3.0,5.5,2,0.005002042581865359,0.454948926225039,0.005002042581865359,-0.535845057500788,0.13434119162764488,0.454948926225039,0.24448220796603026,0.03401548970702151,2.0000233847945563,1.308176849373306,0.6163303139520553
330.0,5.0,5.0,5.0,0.5,2,0.0018159137510547288,0.454948926225039,0.0018159137510547288,-0.535845057500788,0.13416398068402166,0.454948926225039,0.24448220796603026,0.03401548970702151,0.6163303139520553,0.6163303139520553,0.6163303139520553
335.0,,,,,0,0.004122515274625588,0.03097017233945376,0.004122515274625588,-0.004307262569531067,0.010102821153087105,,,,,,
340.0,,,,,0,-0.0007273347181655022,0.002883069669734839,-0.0007273347181655022,-0.004307262569531067,0.0016756567423705817,,,,,,
345.0,,,,,0,-0.00018300928979766374,0.002883069669734839,-0.00018300928979766374,-0.0019022703292910226,0.0012142658211961987,,,,,,
350.0,,,,,0,-0.0003743498555924899,0.002237318382244169,-0.0003743498555924899,-0.0021318432447228197,0.0010450031648272936,,,,,,
355.0,,,,,0,-0.00034479500693213174,0.002237318382244169,-0.00034479500693213174,-0.0021318432447228197,0.0010293013970258157,,,,,,
360.0,,,,,0,-0.0004983008885756984,0.0017474074571965925,-0.0004983008885756984,-0.0021318432447228197,0.0008948737155703446,,,,,,
365.0,,,,,0,-0.0006444066861163248,0.0011262821553674751,-0.0006444066861163248,-0.0021318432447228197,0.0007685805431617209,,,,,,
370.0,,,,,0,-0.0006770730155865912,0.0011262821553674751,-0.0006770730155865912,-0.0020788507974596193,0.0007512221058117293,,,,,,
375.0,,,,,0,-0.0006694640430271134,0.0011262821553674751,-0.0006694640430271134,-0.0020788507974596193,0.0007294413932576959,,,,,,
380.0,,,,,0,-0.0005513009835729113,0.0011262821553674751,-0.0005513009835729113,-0.0018994166120958056,0.0006942757620074944,,,,,,
385.0,,,,,0,-0.0005260933103629804,0.000702612830074445,-0.0005260933103629804,-0.0018994166120958056,0.0006009353489111337,,,,,,
390.0,,,,,0,-0.000472778367642146,0.000702612830074445,-0.000472778367642146,-0.0018632928076507405,0.0005743943905769904,,,,,,
395.0,,,,,0,-0.0005218239048924724,0.000702612830074445,-0.0005218239048924724,-0.0018632928076507405,0.0005894374792798788,,,,,,
400.0,,,,,0,-0.0006413218144957726,0.0004413619723828699,-0.0006413218144957726,-0.0018632928076507405,0.0005593505409639626,,,,,,
405.0,,,,,0,-0.0005692174009174076,0.001637470918646411,-0.0005692174009174076,-0.0018819011668878005,0.0008102658757414405,,,,,,
410.0,,,,,0,-0.0005859679666061843,0.001637470918646411,-0.0005859679666061843,-0.0018819011668878005,0.0008197646866699579,,,,,,
415.0,,,,,0,-0.0005953414623709816,0.001637470918646411,-0.0005953414623709816,-0.0018819011668878005,0.0008084191107907432,,,,,,
420.0,,,,,0,-0.000573656979898372,0.001637470918646411,-0.000573656979898372,-0.0018819011668878005,0.0008338694347843993,,,,,,
425.0,,,,,0,-0.0006146152669180729,0.001637470918646411,-0.0006146152669180729,-0.0016679282250008365,0.0006355161815652008,,,,,,
430.0,,,,,0,-0.0006689186627938246,0.0008181093411860907,-0.0006689186627938246,-0.0016469591475338774,0.0005545877399823823,,,,,,
435.0,,,,,0,-0.0005860657618688473,0.0008181093411860907,-0.0005860657618688473,-0.0016469591475338774,0.0006329027754696959,,,,,,
440.0,,,,,0,-0.0005910737709511555,0.0008181093411860907,-0.0005910737709511555,-0.0016469591475338774,0.000567519324674619,,,,,,
445.0,,,,,0,-0.0005987678481300608,0.0008181093411860907,-0.0005987678481300608,-0.0016469591475338774,0.000603883060030255,,,,,,
