,dur_max,dur_mean,dur_min,latency,n_peak,pha_auc,pha_max,pha_mean,pha_min,pha_std,pks_max,pks_mean,pks_min,slp_max,slp_mean,slp_min
620.0,,,,,0,-0.0001317963180970349,0.0015989429605880456,-0.0001317963180970349,-0.00158138624230586,0.0006892794793923483,,,,,,
625.0,,,,,0,-0.0001615253303052328,0.0015989429605880456,-0.0001615253303052328,-0.00158138624230586,0.0007060428155325264,,,,,,
630.0,,,,,0,3.794381683171978e-05,0.0021908230758359015,3.794381683171978e-05,-0.00158138624230586,0.0008986515276650488,,,,,,
635.0,,,,,0,0.00014677546297330068,0.0021908230758359015,0.00014677546297330068,-0.0015629541354720833,0.0008694267907935567,,,,,,
640.0,,,,,0,3.5101830428155224e-05,0.0021908230758359015,3.5101830428155224e-05,-0.0015629541354720833,0.0008744735695159085,,,,,,
645.0,,,,,0,-2.242390640386701e-05,0.0021908230758359015,-2.242390640386701e-05,-0.0014176722472968861,0.0008493924207284133,,,,,,
650.0,,,,,0,-4.022567377168015e-05,0.0020687262716060917,-4.022567377168015e-05,-0.0017506629048568145,0.0008411734512065745,,,,,,
655.0,,,,,0,-0.00039463360584557485,0.0017516562694626647,-0.00039463360584557485,-0.003541324146666691,0.0010524512344972311,,,,,,
660.0,,,,,0,-0.0001653558046991689,0.00322672699190113,-0.0001653558046991689,-0.003541324146666691,0.0013937991715773188,,,,,,
665.0,,,,,0,0.00012442601010849937,0.00322672699190113,0.00012442601010849937,-0.003541324146666691,0.0014234230334503085,,,,,,
670.0,,,,,0,0.00013709704342895892,0.00322672699190113,0.00013709704342895892,-0.003541324146666691,0.001347297201897061,,,,,,
675.0,,,,,0,0.00028602860337752597,0.00322672699190113,0.00028602860337752597,-0.0029902347933172813,0.0011411153424045377,,,,,,
680.0,,,,,0,0.00013868078183969538,0.0017296073080380059,0.00013868078183969538,-0.0008616681534428516,0.0006383724097991205,,,,,,
685.0,,,,,0,-0.0002442610838876763,0.0008167705448371976,-0.0002442610838876763,-0.0020483600216522624,0.0007377700950822268,,,,,,
690.0,,,,,0,-0.00011156047153283958,0.0021856798679852907,-0.00011156047153283958,-0.0020483600216522624,0.0010737476084166434,,,,,,
695.0,,,,,0,-0.00021299624772098112,0.0021856798679852907,-0.00021299624772098112,-0.0021564572169759377,0.0011888385689120995,,,,,,
700.0,,,,,0,-1.2795635989398407e-05,0.0023068681183532336,-1.2795635989398407e-05,-0.0029513860313928886,0.0014672386638573038,,,,,,
705.0,,,,,0,0.00020751253644875177,0.0023068681183532336,0.00020751253644875177,-0.0029513860313928886,0.0013770718114905775,,,,,,
710.0,,,,,0,5.557564070280935e-05,0.0023068681183532336,5.557564070280935e-05,-0.0029513860313928886,0.001178745403430248,,,,,,
715.0,,,,,0,7.520757091129105e-05,0.0023068681183532336,7.520757091129105e-05,-0.0029513860313928886,0.0010375775561425652,,,,,,
720.0,,,,,0,1.7180497890724693e-05,0.002510478356727519,1.7180497890724693e-05,-0.0013033063281451263,0.0007771728096553496,,,,,,
725.0,,,,,0,-0.0007429365159533075,0.002510478356727519,-0.0007429365159533075,-0.006075098438788895,0.0016846401556227563,,,,,,
730.0,,,,,0,-2.6858247655716595e-05,0.007935135403179194,-2.6858247655716595e-05,-0.006075098438788895,0.0033518931491375377,,,,,,
735.0,,,,,0,-0.0005054469471252646,0.007935135403179194,-0.0005054469471252646,-0.0063843770799337785,0.00384588724434555,,,,,,
740.0,,,,,0,0.00043900258910293985,0.007935135403179194,0.00043900258910293985,-0.0063843770799337785,0.004315120187351691,,,,,,
745.0,,,,,0,0.000806594763092763,0.007935135403179194,0.000806594763092763,-0.0063843770799337785,0.004137422566877377,,,,,,
750.0,,,,,0,0.000503846288300044,0.006285414731502681,0.000503846288300044,-0.0063843770799337785,0.003117685048629786,,,,,,
755.0,,,,,0,-0.00043170432323797186,0.006285414731502681,-0.00043170432323797186,-0.010933983209612752,0.0037742051088240167,,,,,,
760.0,0.0,0.0,0.0,19.0,1,-0.00021520874910364152,0.01537996193628366,-0.00021520874910364152,-0.012013564621622508,0.006285819600064473,0.01537996193628366,0.01537996193628366,0.01537996193628366,0.0,0.0,0.0
765.0,0.0,0.0,0.0,14.0,1,0.0004721802580871041,0.01537996193628366,0.0004721802580871041,-0.012013564621622508,0.0067704409853676295,0.01537996193628366,0.01537996193628366,0.01537996193628366,0.0,0.0,0.0
770.0,0.0,0.0,0.0,9.0,1,7.302475534292113e-05,0.01537996193628366,7.302475534292113e-05,-0.012013564621622508,0.007508168970989812,0.01537996193628366,0.01537996193628366,0.01537996193628366,0.0,0.0,0.0
775.0,0.0,0.0,0.0,4.0,1,0.0015781140880678976,0.01537996193628366,0.0015781140880678976,-0.012013564621622508,0.0071347633232956825,0.01537996193628366,0.01537996193628366,0.01537996193628366,0.0,0.0,0.0
780.0,,,,,0,0.0007321941457135744,0.01205548106277482,0.0007321941457135744,-0.008540026153982083,0.005053936534513267,,,,,,
785.0,,,,,0,-0.0006164635413106623,0.00842095923660352,-0.0006164635413106623,-0.008540026153982083,0.003956725608310493,,,,,,
790.0,,,,,0,7.124039333855907e-05,0.010351922397060509,7.124039333855907e-05,-0.006279282389663521,0.004160165589275583,,,,,,
795.0,,,,,0,-7.23250040573809e-05,0.010351922397060509,-7.23250040573809e-05,-0.006279282389663521,0.0039769496776465366,,,,,,
800.0,,,,,0,9.015217907870903e-05,0.010351922397060509,9.015217907870903e-05,-0.006279282389663521,0.003867633754455698,,,,,,
805.0,,,,,0,0.0002908366987609518,0.010351922397060509,0.0002908366987609518,-0.006279282389663521,0.003824686060968783,,,,,,
810.0,,,,,0,0.0005243907868461132,0.008918173135911589,0.0005243907868461132,-0.002062766530835869,0.0021717447807249437,,,,,,
815.0,,,,,0,-0.0003529797196602676,0.0009126461859964574,-0.0003529797196602676,-0.002062766530835869,0.0007426671126735744,,,,,,
820.0,,,,,0,-3.0653878880687465e-05,0.0011612775317859647,-3.0653878880687465e-05,-0.001509995999313285,0.0006647937411582825,,,,,,
825.0,,,,,0,2.545281347446292e-05,0.0011612775317859647,2.545281347446292e-05,-0.001509995999313285,0.0006569334198732926,,,,,,
830.0,,,,,0,-0.0002510005931829525,0.0011612775317859647,-0.0002510005931829525,-0.002365179811845697,0.0009020245738748897,,,,,,
