TIME,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,LAB
0.000000,-166.000000,-300.000000,4234.000000,-14.000000,15.000000,36.000000,-11.000000,-65.000000,-159.000000,0.000000
0.010000,-135.000000,-299.000000,4220.000000,-17.000000,13.000000,34.000000,-11.000000,-65.000000,-159.000000,0.000000
0.020000,-160.000000,-329.000000,4214.000000,-18.000000,15.000000,35.000000,-8.000000,-64.000000,-156.000000,0.000000
0.030000,-186.000000,-321.000000,4241.000000,-16.000000,13.000000,36.000000,-8.000000,-64.000000,-156.000000,0.000000
0.040000,-196.000000,-305.000000,4240.000000,-16.000000,15.000000,36.000000,-8.000000,-62.000000,-158.000000,0.000000
0.050000,-158.000000,-349.000000,4249.000000,-17.000000,15.000000,36.000000,-8.000000,-62.000000,-158.000000,0.000000
0.060000,-151.000000,-313.000000,4279.000000,-15.000000,13.000000,35.000000,-13.000000,-65.000000,-157.000000,0.000000
0.070000,-128.000000,-328.000000,4246.000000,-16.000000,14.000000,34.000000,-13.000000,-65.000000,-157.000000,0.000000
0.080000,-141.000000,-318.000000,4222.000000,-17.000000,16.000000,34.000000,-9.000000,-65.000000,-155.000000,0.000000
0.090000,-154.000000,-303.000000,4214.000000,-16.000000,15.000000,36.000000,-9.000000,-65.000000,-155.000000,0.000000
0.100000,-163.000000,-317.000000,4261.000000,-16.000000,15.000000,34.000000,-11.000000,-65.000000,-157.000000,0.000000
0.110000,-179.000000,-322.000000,4221.000000,-15.000000,15.000000,37.000000,-11.000000,-65.000000,-157.000000,0.000000
0.120000,-162.000000,-307.000000,4246.000000,-15.000000,15.000000,34.000000,-10.000000,-68.000000,-156.000000,0.000000
0.130000,-169.000000,-294.000000,4241.000000,-18.000000,13.000000,34.000000,-10.000000,-68.000000,-156.000000,0.000000
0.140000,-151.000000,-300.000000,4255.000000,-16.000000,17.000000,36.000000,-11.000000,-69.000000,-157.000000,0.000000
0.150000,-132.000000,-298.000000,4222.000000,-17.000000,14.000000,36.000000,-11.000000,-69.000000,-157.000000,0.000000
0.160000,-160.000000,-303.000000,4252.000000,-17.000000,16.000000,33.000000,-12.000000,-66.000000,-158.000000,0.000000
0.170000,-144.000000,-319.000000,4249.000000,-18.000000,15.000000,35.000000,-12.000000,-66.000000,-158.000000,0.000000
0.180000,-164.000000,-316.000000,4237.000000,-17.000000,14.000000,33.000000,-9.000000,-63.000000,-153.000000,0.000000
0.190000,-179.000000,-317.000000,4238.000000,-17.000000,14.000000,35.000000,-9.000000,-63.000000,-153.000000,0.000000
0.200000,-178.000000,-299.000000,4246.000000,-13.000000,14.000000,37.000000,-10.000000,-66.000000,-162.000000,0.000000
0.210000,-178.000000,-299.000000,4209.000000,-15.000000,16.000000,36.000000,-10.000000,-66.000000,-162.000000,0.000000
0.220000,-181.000000,-313.000000,4233.000000,-17.000000,14.000000,37.000000,-15.000000,-67.000000,-161.000000,0.000000
0.230000,-182.000000,-325.000000,4250.000000,-19.000000,17.000000,37.000000,-15.000000,-67.000000,-161.000000,0.000000
0.240000,-162.000000,-299.000000,4231.000000,-16.000000,14.000000,35.000000,-12.000000,-64.000000,-156.000000,0.000000
0.250000,-167.000000,-326.000000,4236.000000,-16.000000,15.000000,34.000000,-12.000000,-64.000000,-156.000000,0.000000
0.260000,-155.000000,-305.000000,4240.000000,-16.000000,15.000000,35.000000,-10.000000,-64.000000,-158.000000,0.000000
0.270000,-152.000000,-308.000000,4225.000000,-19.000000,14.000000,35.000000,-10.000000,-64.000000,-158.000000,0.000000
0.280000,-167.000000,-303.000000,4237.000000,-15.000000,14.000000,34.000000,-13.000000,-67.000000,-157.000000,0.000000
0.290000,-164.000000,-305.000000,4208.000000,-16.000000,16.000000,33.000000,-13.000000,-67.000000,-157.000000,0.000000
0.300000,-179.000000,-328.000000,4256.000000,-15.000000,14.000000,36.000000,-15.000000,-61.000000,-157.000000,0.000000
0.310000,-175.000000,-322.000000,4250.000000,-16.000000,14.000000,37.000000,-15.000000,-61.000000,-157.000000,0.000000
0.320000,-170.000000,-316.000000,4206.000000,-14.000000,15.000000,35.000000,-13.000000,-63.000000,-157.000000,0.000000
0.330000,-160.000000,-319.000000,4196.000000,-17.000000,15.000000,36.000000,-13.000000,-63.000000,-157.000000,0.000000
0.340000,-163.000000,-321.000000,4236.000000,-16.000000,15.000000,34.000000,-11.000000,-59.000000,-155.000000,0.000000
0.350000,-167.000000,-330.000000,4196.000000,-16.000000,17.000000,35.000000,-11.000000,-59.000000,-155.000000,0.000000
