TIME,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,LAB
0.000000,815.000000,1656.000000,444.000000,559.000000,-8131.000000,-1189.000000,91.000000,-43.000000,-85.000000,0.000000
0.010000,1606.000000,2324.000000,107.000000,1118.000000,-8515.000000,-1546.000000,29.000000,-195.000000,-47.000000,0.000000
0.020000,1692.000000,3132.000000,234.000000,1608.000000,-8468.000000,-1815.000000,29.000000,-195.000000,-47.000000,0.000000
0.030000,1884.000000,3776.000000,209.000000,1964.000000,-7047.000000,-1912.000000,10.000000,-192.000000,-58.000000,0.000000
0.040000,1796.000000,4202.000000,626.000000,1871.000000,-6179.000000,-2248.000000,10.000000,-192.000000,-58.000000,0.000000
0.050000,1400.000000,4849.000000,1593.000000,1839.000000,-4698.000000,-2241.000000,9.000000,-195.000000,-61.000000,0.000000
0.060000,1817.000000,5243.000000,3022.000000,1214.000000,-3445.000000,-2030.000000,9.000000,-195.000000,-61.000000,0.000000
0.070000,3399.000000,5307.000000,6274.000000,212.000000,-2547.000000,-1071.000000,7.000000,-193.000000,-61.000000,0.000000
0.080000,1539.000000,3282.000000,6398.000000,-1317.000000,99.000000,-344.000000,7.000000,-193.000000,-61.000000,0.000000
0.090000,2526.000000,1732.000000,2292.000000,-1100.000000,2087.000000,663.000000,6.000000,-196.000000,-52.000000,0.000000
0.100000,2405.000000,2122.000000,-1573.000000,-727.000000,2469.000000,2176.000000,6.000000,-196.000000,-52.000000,0.000000
0.110000,1743.000000,2509.000000,-2210.000000,-557.000000,1314.000000,3117.000000,6.000000,-194.000000,-56.000000,0.000000
0.120000,-1291.000000,3657.000000,-2450.000000,-857.000000,225.000000,3381.000000,6.000000,-194.000000,-56.000000,0.000000
0.130000,-5339.000000,5151.000000,-1623.000000,-1310.000000,-2160.000000,3284.000000,2.000000,-194.000000,-58.000000,0.000000
0.140000,-7224.000000,4651.000000,-3251.000000,-2090.000000,-4970.000000,3002.000000,2.000000,-194.000000,-58.000000,0.000000
