# slp_min,pks_max,n_peak,dur_min,slp_max,dur_max,pks_mean,latency,dur_mean,slp_mean,pha_auc,pha_min,pha_std,pks_min,pha_max,pha_mean
0.000000000000000000e+00,1.800079627594725062e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.800079627594725062e-02,1.425000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.945627904691420856e-04,-7.142684891750405995e-03,4.968393554718350015e-03,1.800079627594725062e-02,1.800079627594725062e-02,1.945627904691420856e-04
2.500678819372272321e-01,2.648654671232797408e-02,2.000000000000000000e+00,1.000000000000000000e+00,2.500678819372272321e-01,1.000000000000000000e+00,2.224367149413761235e-02,4.250000000000000000e+00,1.000000000000000000e+00,2.500678819372272321e-01,2.052365572321862217e-03,-9.377426605927940972e-03,7.120437798064049167e-03,1.800079627594725062e-02,2.648654671232797408e-02,2.052365572321862217e-03
2.500292077777117039e-01,8.542323736139856294e-02,5.000000000000000000e+00,5.000000000000000000e-01,5.007163228253559417e-01,3.250000000000000000e+00,5.688967038187744268e-02,3.750000000000000000e+00,1.583333333333333259e+00,3.336044708467649778e-01,1.088765449441013965e-02,-2.178446883307072479e-02,2.174970277059316143e-02,2.648654671232797408e-02,8.542323736139856294e-02,1.088765449441013965e-02
2.500292077777117039e-01,8.542323736139856294e-02,8.000000000000000000e+00,2.500000000000000000e-01,1.500190628858474318e+00,3.250000000000000000e+00,4.965132282378224848e-02,5.750000000000000000e+00,1.041666666666666741e+00,5.502620318260641463e-01,1.457262527708673774e-02,-2.178446883307072479e-02,2.322983955739581566e-02,2.065069170142525001e-02,8.542323736139856294e-02,1.457262527708673774e-02
2.501757451248063369e-01,4.837285783184869237e-02,7.000000000000000000e+00,2.500000000000000000e-01,4.500038134830052883e+00,7.500000000000000000e-01,3.226429854049078089e-02,7.500000000000000000e-01,6.428571428571429047e-01,1.916782514706662832e+00,6.193351979558725517e-03,-5.558099890266007814e-02,2.009068770670731363e-02,1.960450648113770677e-02,4.837285783184869237e-02,6.193351979558725517e-03
2.500000531548264848e-01,1.102282946588720169e-01,6.000000000000000000e+00,7.500000000000000000e-01,7.526588904373039401e-01,2.750000000000000000e+00,4.166533658789236400e-02,1.500000000000000000e+00,1.250000000000000000e+00,3.756971891029838306e-01,9.809580981842577763e-03,-5.558099890266007814e-02,3.148102176371125882e-02,1.150647797899251312e-02,1.102282946588720169e-01,9.809580981842577763e-03
2.501119291433948066e-01,1.371162924071844813e-01,6.000000000000000000e+00,7.500000000000000000e-01,7.578373950941778014e-01,2.750000000000000000e+00,7.902503477481592764e-02,2.750000000000000000e+00,1.649999999999999911e+00,5.031691476228039583e-01,2.565588927687491999e-02,-2.133192082545676271e-02,4.259748617069830656e-02,1.150647797899251312e-02,1.371162924071844813e-01,2.565588927687491999e-02
2.501965826987684882e-01,4.408114831015747526e-01,5.000000000000000000e+00,1.000000000000000000e+00,1.313920092817981056e+00,2.250000000000000000e+00,1.760887646502591330e-01,1.500000000000000000e+00,1.850000000000000089e+00,7.663921940108922026e-01,4.516096310022647137e-02,-3.048091046161899298e-02,7.843925807135138095e-02,5.098597192570825110e-02,4.408114831015747526e-01,4.516096310022647137e-02
1.004965958703158746e+00,4.408114831015747526e-01,4.000000000000000000e+00,1.250000000000000000e+00,4.000053213014971298e+00,2.250000000000000000e+00,2.088286435022778109e-01,4.500000000000000000e+00,1.937500000000000000e+00,2.269946364389093141e+00,4.231917465071537154e-02,-3.048091046161899298e-02,8.667079916641709514e-02,-7.672807987324503642e-05,4.408114831015747526e-01,4.231917465071537154e-02
1.001229335205543469e+00,2.657069803494669924e-01,4.000000000000000000e+00,7.500000000000000000e-01,4.000053213014971298e+00,2.500000000000000000e+00,1.269104694345255802e-01,5.500000000000000000e+00,1.750000000000000000e+00,2.317338956551227014e+00,2.958131090136912472e-02,-3.458945804158630732e-02,5.860072523711579162e-02,-7.672807987324503642e-05,2.657069803494669924e-01,2.958131090136912472e-02
