# slp_min,pks_max,n_peak,dur_min,slp_max,dur_max,pks_mean,latency,dur_mean,slp_mean,pha_auc,pha_min,pha_std,pks_min,pha_max,pha_mean
0.000000000000000000e+00,1.870420199798505934e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.625049113687975291e-02,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.845992757914663397e-03,-2.124737390436504114e-02,7.227995005324559449e-03,1.056612798432254863e-02,1.870420199798505934e-02,1.845992757914663397e-03
2.519355304412155272e-01,5.924085236117093700e-02,7.000000000000000000e+00,6.250000000000000000e-01,2.519355304412155272e-01,6.250000000000000000e-01,2.297014322747070736e-02,4.562500000000000000e+00,6.250000000000000000e-01,2.519355304412155272e-01,2.984145833240864441e-03,-2.124737390436504114e-02,1.167737799502033269e-02,1.156401121619055061e-02,5.924085236117093700e-02,2.984145833240864441e-03
2.519355304412155272e-01,5.924085236117093700e-02,4.000000000000000000e+00,6.250000000000000000e-01,2.519355304412155272e-01,6.250000000000000000e-01,2.601022291994459223e-02,2.375000000000000000e+00,6.250000000000000000e-01,2.519355304412155272e-01,2.228749048329384252e-03,-1.583868406603805568e-02,1.078873187391706998e-02,1.156401121619055061e-02,5.924085236117093700e-02,2.228749048329384252e-03
0.000000000000000000e+00,1.669971708133743959e-02,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.526064234290291921e-02,4.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.995130765892586484e-05,-1.836155832463592930e-02,6.660976776233672701e-03,1.393621678755962989e-02,1.669971708133743959e-02,-5.995130765892586484e-05
0.000000000000000000e+00,2.137665769194274645e-02,5.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,1.250000000000000000e-01,1.787391374124940382e-02,4.687500000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,-4.073161266517105641e-04,-2.043186827895748792e-02,8.010707895108380369e-03,1.514599315981168814e-02,2.137665769194274645e-02,-4.073161266517105641e-04
0.000000000000000000e+00,2.137665769194274645e-02,6.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,1.250000000000000000e-01,1.470908937567264908e-02,1.687500000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,-7.925894280693789994e-04,-2.043186827895748792e-02,8.750069045754781116e-03,5.625920325302402603e-03,2.137665769194274645e-02,-7.925894280693789994e-04
6.250618149381183264e-02,2.658193626045068925e-02,6.000000000000000000e+00,1.875000000000000000e-01,1.250255314989785205e-01,3.125000000000000000e-01,1.660064807631419018e-02,2.000000000000000000e+00,2.500000000000000000e-01,9.376585649639518349e-02,-8.094092554427722696e-04,-3.372768084682231660e-02,1.080836197042613252e-02,5.625920325302402603e-03,2.658193626045068925e-02,-8.094092554427722696e-04
6.250618149381183264e-02,1.292202387329624003e-01,5.000000000000000000e+00,1.875000000000000000e-01,1.500489508195969268e+00,2.000000000000000000e+00,5.139063636509390992e-02,5.875000000000000000e+00,9.843750000000000000e-01,7.201241957388151427e-01,2.096793885457393179e-03,-9.336936990538458048e-02,2.750556784293010232e-02,1.819314730690013704e-02,1.292202387329624003e-01,2.096793885457393179e-03
1.254193013124751954e-01,1.292202387329624003e-01,6.000000000000000000e+00,6.250000000000000000e-02,1.500489508195969268e+00,2.000000000000000000e+00,4.957938467836520147e-02,7.500000000000000000e+00,8.125000000000000000e-01,9.137269594419944463e-01,5.372232280393562757e-03,-9.336936990538458048e-02,2.751371189948031287e-02,1.944045039682951170e-02,1.292202387329624003e-01,5.372232280393562757e-03
1.254193013124751954e-01,3.778826040016447507e-02,6.000000000000000000e+00,6.250000000000000000e-02,1.250000315428364539e+00,7.500000000000000000e-01,2.218648488616799599e-02,3.125000000000000000e-01,3.593750000000000000e-01,6.252232424158340462e-01,-1.122747661201523115e-03,-4.236048630048472319e-02,1.611410611058557152e-02,9.003363322744206698e-03,3.778826040016447507e-02,-1.122747661201523115e-03
