# slp_min,pks_max,n_peak,dur_min,slp_max,dur_max,pks_mean,latency,dur_mean,slp_mean,pha_auc,pha_min,pha_std,pks_min,pha_max,pha_mean
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053388379338e-05,-2.058399054361004232e-05,3.450646497590897693e-15,nan,-2.058399052473625090e-05,-2.058399053388379338e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053460613292e-05,-2.058399054338799772e-05,3.362693084234935139e-15,nan,-2.058399052540238472e-05,-2.058399053460613292e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053512585539e-05,-2.058399054338799772e-05,3.462556101561227039e-15,nan,-2.058399052518034011e-05,-2.058399053512585539e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053439172177e-05,-2.058399054472026535e-05,3.801114110379539915e-15,nan,-2.058399052184967104e-05,-2.058399053439172177e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053333492959e-05,-2.058399054516435456e-05,4.112919306460534069e-15,nan,-2.058399052140558183e-05,-2.058399053333492959e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053146767256e-05,-2.058399054516435456e-05,4.166131720316910078e-15,nan,-2.058399052140558183e-05,-2.058399053146767256e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053096945794e-05,-2.058399054316595311e-05,5.622835004338487855e-15,nan,-2.058399051629855592e-05,-2.058399053096945794e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399051459713778e-05,-2.058399058424420502e-05,5.596688328579937699e-14,nan,-2.058399037041525048e-05,-2.058399051459713778e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399025725923814e-05,-2.058399113469278063e-05,7.693414109731625593e-13,nan,-2.058398827320395696e-05,-2.058399025725923814e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058398669733188456e-05,-2.058399896531781792e-05,1.070854018723048981e-11,nan,-2.058395907278409709e-05,-2.058398669733188456e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058393713354339651e-05,-2.058410793415177409e-05,1.491597427868947178e-10,nan,-2.058355239054066033e-05,-2.058393713354339651e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058324678815906392e-05,-2.058562571494171323e-05,2.077526548676572331e-09,nan,-2.057788795295500961e-05,-2.058324678815906392e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.057363153221761153e-05,-2.060676566695285317e-05,2.893620862205012926e-08,nan,-2.049899254297216089e-05,-2.057363153221761153e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.043970829173416480e-05,-2.090120735176448363e-05,4.030294024288720291e-07,nan,-1.940012123657908205e-05,-2.043970829173416480e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-1.857439816533579393e-05,-2.500225087342933250e-05,5.613475414304065013e-06,nan,-4.094818439215330841e-06,-1.857439816533579393e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-5.394231298725404720e-05,-9.733676054979323311e-04,1.499826214007156345e-04,nan,9.806306419490873338e-05,-5.394231298725404720e-05
