# timestamp,driver,phasic,tonic
1.066406250000000000e+00,1.389214130426197125e+00,2.220446049250313081e-16,1.389214130426196903e+00
1.128906250000000000e+00,1.387047527122050372e+00,-1.983316711754001815e-03,1.389030843833804374e+00
1.191406250000000000e+00,1.386022148133561283e+00,-2.834824713535244456e-03,1.388856972847096527e+00
1.253906250000000000e+00,1.385937051512217799e+00,-2.755355218634125691e-03,1.388692406730851925e+00
1.316406250000000000e+00,1.386306450037546822e+00,-2.230584712302530193e-03,1.388537034749849353e+00
1.378906250000000000e+00,1.386463356277827685e+00,-1.927389891040132142e-03,1.388390746168867818e+00
1.441406250000000000e+00,1.385741046673709231e+00,-2.512383578975985188e-03,1.388253430252685217e+00
1.503906250000000000e+00,1.383694549289900433e+00,-4.430426976180346088e-03,1.388124976266080779e+00
1.566406250000000000e+00,1.380279555075964559e+00,-7.725718397868508447e-03,1.388005273473833068e+00
1.628906250000000000e+00,1.375916347475840906e+00,-1.197786366487996190e-02,1.387894211140720868e+00
1.691406250000000000e+00,1.371399013678463064e+00,-1.639266485305923560e-02,1.387791678531522299e+00
1.753906250000000000e+00,1.367676540616713732e+00,-2.002102429430263619e-02,1.387697564911016368e+00
1.816406250000000000e+00,1.365582402762679948e+00,-2.202935678130168995e-02,1.387611759543981638e+00
1.878906250000000000e+00,1.365604864360928650e+00,-2.192928733426824373e-02,1.387534151695196893e+00
1.941406250000000000e+00,1.367766182215313986e+00,-1.969844841412671244e-02,1.387464630629440698e+00
2.003906250000000000e+00,1.371640406599271111e+00,-1.576267901222005996e-02,1.387403085611491171e+00
2.066406250000000000e+00,1.376487317119437170e+00,-1.086208878669103761e-02,1.387349405906128208e+00
2.128906250000000000e+00,1.381453798046881065e+00,-5.849682731248639911e-03,1.387303480778129705e+00
2.191406250000000000e+00,1.385777427201863699e+00,-1.487772290410083187e-03,1.387265199492273782e+00
2.253906250000000000e+00,1.388935440690048484e+00,1.700989376708372802e-03,1.387234451313340111e+00
2.316406250000000000e+00,1.390708119569665113e+00,3.496994063558522825e-03,1.387211125506106590e+00
2.378906250000000000e+00,1.391147000758591101e+00,3.951889423238430510e-03,1.387195111335352671e+00
2.441406250000000000e+00,1.390479340109797679e+00,3.293042043941429853e-03,1.387186298065856249e+00
2.503906250000000000e+00,1.388983299762948764e+00,1.798724800552653491e-03,1.387184574962396111e+00
2.566406250000000000e+00,1.386886172801360617e+00,-3.036584883902015974e-04,1.387189831289750819e+00
2.628906250000000000e+00,1.384315607757310662e+00,-2.886348555388718040e-03,1.387201956312699380e+00
2.691406250000000000e+00,1.381321515382424758e+00,-5.899323913595599933e-03,1.387220839296020358e+00
2.753906250000000000e+00,1.377958666141547939e+00,-9.287703362943933172e-03,1.387246369504491872e+00
2.816406250000000000e+00,1.374399448771053134e+00,-1.287898743184001660e-02,1.387278436202893150e+00
2.878906250000000000e+00,1.371022348488230458e+00,-1.629458016777274310e-02,1.387316928656003201e+00
2.941406250000000000e+00,1.368425447282154428e+00,-1.893628884644527055e-02,1.387361736128599699e+00
3.003906250000000000e+00,1.367325286862272948e+00,-2.008746102318892390e-02,1.387412747885461872e+00
3.066406250000000000e+00,1.368351449621743487e+00,-1.911840356962479781e-02,1.387469853191368285e+00
3.128906250000000000e+00,1.371800053182937296e+00,-1.573288812816020510e-02,1.387532941311097501e+00
3.191406250000000000e+00,1.377450946038782709e+00,-1.015095547064559511e-02,1.387601901509428304e+00
3.253906250000000000e+00,1.384540155775047410e+00,-3.136467276091403633e-03,1.387676623051138813e+00
3.316406250000000000e+00,1.391924795473326260e+00,4.167800272317334631e-03,1.387756995201008925e+00
3.378906250000000000e+00,1.398383431639045327e+00,1.054052441522967953e-02,1.387842907223815647e+00
3.441406250000000000e+00,1.402942480969631589e+00,1.500823258529226933e-02,1.387934248384339320e+00
3.503906250000000000e+00,1.405103743415866413e+00,1.707283546850879574e-02,1.388030907947357617e+00
3.566406250000000000e+00,1.404912932597417896e+00,1.678015741976923714e-02,1.388132775177648659e+00
3.628906250000000000e+00,1.402879427132591728e+00,1.463968779259938735e-02,1.388239739339992340e+00
3.691406250000000000e+00,1.399809725943955918e+00,1.145803624478958227e-02,1.388351689699166336e+00
3.753906250000000000e+00,1.396619346097936143e+00,8.150830577986267755e-03,1.388468515519949875e+00
3.816406250000000000e+00,1.394157754412451711e+00,5.567648345330411530e-03,1.388590106067121299e+00
3.878906250000000000e+00,1.393052387616573240e+00,4.336037011113846873e-03,1.388716350605459393e+00
3.941406250000000000e+00,1.393575641688174827e+00,4.728503288431662455e-03,1.388847138399743164e+00
4.003906250000000000e+00,1.395558240069276312e+00,6.575881354526025291e-03,1.388982358714750287e+00
4.066406250000000000e+00,1.398394054797218233e+00,9.272153981957576008e-03,1.389121900815260657e+00
4.128906250000000000e+00,1.401168355621910777e+00,1.190270165585927131e-02,1.389265653966051506e+00
4.191406250000000000e+00,1.402903389251876964e+00,1.348988181997445857e-02,1.389413507431902506e+00
4.253906250000000000e+00,1.402856095312972506e+00,1.329074483538006390e-02,1.389565350477592443e+00
4.316406250000000000e+00,1.400765257810174136e+00,1.104418544227492305e-02,1.389721072367899213e+00
4.378906250000000000e+00,1.396952126580912612e+00,7.071564213311010150e-03,1.389880562367601602e+00
4.441406250000000000e+00,1.392233445214287713e+00,2.189735472808873595e-03,1.390043709741478839e+00
4.503906250000000000e+00,1.387681670705509962e+00,-2.528733048799303162e-03,1.390210403754309265e+00
4.566406250000000000e+00,1.384328565446029558e+00,-6.051968224841886013e-03,1.390380533670871444e+00
4.628906250000000000e+00,1.382916385691680627e+00,-7.637603064263087660e-03,1.390553988755943715e+00
4.691406250000000000e+00,1.383762530581141625e+00,-6.968127693163239655e-03,1.390730658274304865e+00
4.753906250000000000e+00,1.386745447292036859e+00,-4.164984198697485596e-03,1.390910431490734345e+00
4.816406250000000000e+00,1.391373633632009721e+00,2.804359620001140030e-04,1.391093197670009607e+00
4.878906250000000000e+00,1.396892759076098001e+00,5.613912999187453678e-03,1.391278846076910547e+00
4.941406250000000000e+00,1.402415143571089651e+00,1.094787759487525491e-02,1.391467265976214396e+00
5.003906250000000000e+00,1.407069229054430881e+00,1.541088242172961031e-02,1.391658346632701271e+00
5.066406250000000000e+00,1.410178026483629887e+00,1.832604917248126242e-02,1.391851977311148625e+00
5.128906250000000000e+00,1.411428641520322325e+00,1.938059424398663744e-02,1.392048047276335687e+00
5.191406250000000000e+00,1.410973259561118631e+00,1.872681376807738829e-02,1.392246445793041243e+00
5.253906250000000000e+00,1.409388514716373830e+00,1.694145259033041917e-02,1.392447062126043411e+00
5.316406250000000000e+00,1.407472740705132841e+00,1.482295516501141996e-02,1.392649785540121421e+00
