# timestamp,IBI
2.234375000000000000e+00,1.277343750000000000e+00
3.519531250000000000e+00,1.285156250000000000e+00
4.796875000000000000e+00,1.277343750000000000e+00
6.082031250000000000e+00,1.285156250000000000e+00
7.386718750000000000e+00,1.304687500000000000e+00
8.699218750000000000e+00,1.312500000000000000e+00
1.000781250000000000e+01,1.308593750000000000e+00
1.129687500000000000e+01,1.289062500000000000e+00
1.256250000000000000e+01,1.265625000000000000e+00
1.380078125000000000e+01,1.238281250000000000e+00
1.503906250000000000e+01,1.238281250000000000e+00
1.626562500000000000e+01,1.226562500000000000e+00
1.750000000000000000e+01,1.234375000000000000e+00
1.872265625000000000e+01,1.222656250000000000e+00
1.991406250000000000e+01,1.191406250000000000e+00
2.084375000000000000e+01,9.296875000000000000e-01
2.208984375000000000e+01,1.246093750000000000e+00
2.330468750000000000e+01,1.214843750000000000e+00
2.452343750000000000e+01,1.218750000000000000e+00
2.574218750000000000e+01,1.218750000000000000e+00
2.694531250000000000e+01,1.203125000000000000e+00
2.818359375000000000e+01,1.238281250000000000e+00
2.942187500000000000e+01,1.238281250000000000e+00
3.066796875000000000e+01,1.246093750000000000e+00
3.192187500000000000e+01,1.253906250000000000e+00
3.318359375000000000e+01,1.261718750000000000e+00
3.446093750000000000e+01,1.277343750000000000e+00
3.573437500000000000e+01,1.273437500000000000e+00
3.701953125000000000e+01,1.285156250000000000e+00
3.831250000000000000e+01,1.292968750000000000e+00
3.958984375000000000e+01,1.277343750000000000e+00
4.087890625000000000e+01,1.289062500000000000e+00
4.216406250000000000e+01,1.285156250000000000e+00
4.346093750000000000e+01,1.296875000000000000e+00
4.476562500000000000e+01,1.304687500000000000e+00
4.605859375000000000e+01,1.292968750000000000e+00
4.734765625000000000e+01,1.289062500000000000e+00
4.863671875000000000e+01,1.289062500000000000e+00
4.991796875000000000e+01,1.281250000000000000e+00
5.119140625000000000e+01,1.273437500000000000e+00
5.246875000000000000e+01,1.277343750000000000e+00
5.374609375000000000e+01,1.277343750000000000e+00
5.503906250000000000e+01,1.292968750000000000e+00
5.632031250000000000e+01,1.281250000000000000e+00
5.757812500000000000e+01,1.257812500000000000e+00
5.883203125000000000e+01,1.253906250000000000e+00
6.008984375000000000e+01,1.257812500000000000e+00
6.133593750000000000e+01,1.246093750000000000e+00
6.259375000000000000e+01,1.257812500000000000e+00
6.383984375000000000e+01,1.246093750000000000e+00
6.508984375000000000e+01,1.250000000000000000e+00
6.634765625000000000e+01,1.257812500000000000e+00
6.759765625000000000e+01,1.250000000000000000e+00
6.885156250000000000e+01,1.253906250000000000e+00
7.009765625000000000e+01,1.246093750000000000e+00
7.133984375000000000e+01,1.242187500000000000e+00
7.259375000000000000e+01,1.253906250000000000e+00
7.382812500000000000e+01,1.234375000000000000e+00
7.507421875000000000e+01,1.246093750000000000e+00
7.632421875000000000e+01,1.250000000000000000e+00
7.757031250000000000e+01,1.246093750000000000e+00
7.882031250000000000e+01,1.250000000000000000e+00
8.006250000000000000e+01,1.242187500000000000e+00
8.129296875000000000e+01,1.230468750000000000e+00
8.254296875000000000e+01,1.250000000000000000e+00
8.378515625000000000e+01,1.242187500000000000e+00
8.501171875000000000e+01,1.226562500000000000e+00
8.623828125000000000e+01,1.226562500000000000e+00
8.746875000000000000e+01,1.230468750000000000e+00
8.869531250000000000e+01,1.226562500000000000e+00
8.994531250000000000e+01,1.250000000000000000e+00
9.119531250000000000e+01,1.250000000000000000e+00
9.243359375000000000e+01,1.238281250000000000e+00
9.367578125000000000e+01,1.242187500000000000e+00
9.490625000000000000e+01,1.230468750000000000e+00
9.613281250000000000e+01,1.226562500000000000e+00
9.736328125000000000e+01,1.230468750000000000e+00
9.857421875000000000e+01,1.210937500000000000e+00
9.979687500000000000e+01,1.222656250000000000e+00
1.010078125000000000e+02,1.210937500000000000e+00
1.022304687500000000e+02,1.222656250000000000e+00
1.034335937500000000e+02,1.203125000000000000e+00
1.046523437500000000e+02,1.218750000000000000e+00
1.058632812500000000e+02,1.210937500000000000e+00
1.068945312500000000e+02,1.031250000000000000e+00
1.081484375000000000e+02,1.253906250000000000e+00
1.093320312500000000e+02,1.183593750000000000e+00
1.105273437500000000e+02,1.195312500000000000e+00
1.117265625000000000e+02,1.199218750000000000e+00
1.129257812500000000e+02,1.199218750000000000e+00
1.141406250000000000e+02,1.214843750000000000e+00
