# timestamp,driver,phasic,tonic
1.435588840623299599e+09,6.717831751779239358e-02,-5.134781488891348999e-16,6.717831751779290705e-02
1.435588840873299599e+09,7.980577129021683425e-02,1.173264094392383050e-02,6.807313034629300375e-02
1.435588841123299599e+09,8.070315792101666330e-02,1.179744829451183363e-02,6.890570962650482967e-02
1.435588841373299599e+09,8.003409449557206956e-02,1.035611973623692950e-02,6.967797475933514006e-02
1.435588841623299599e+09,8.281767150380490994e-02,1.242582635811419201e-02,7.039184514569071793e-02
1.435588841873299599e+09,8.084968717915730352e-02,9.800446992678915614e-03,7.104924018647838790e-02
1.435588842123299599e+09,7.582720105522978982e-02,4.175121772624884597e-03,7.165207928260490522e-02
1.435588842373299599e+09,7.713024526930936653e-02,4.927963434332313652e-03,7.220228183497705288e-02
1.435588842623299599e+09,7.948285150880657346e-02,6.781084264304904075e-03,7.270176724450166938e-02
1.435588842873299599e+09,7.679307400873371103e-02,3.640619096648228803e-03,7.315245491208548223e-02
1.435588843123299599e+09,7.282376628800764362e-02,-7.324979506276446672e-04,7.355626423863528829e-02
1.435588843373299599e+09,7.165597911792624675e-02,-2.259135507131651566e-03,7.391511462505789831e-02
1.435588843623299599e+09,7.562869110039710518e-02,1.397765628136996008e-03,7.423092547226010918e-02
1.435588843873299599e+09,8.023755589272887900e-02,5.731939711580216756e-03,7.450561618114866225e-02
1.435588844123299599e+09,8.115182558967877491e-02,6.410719437048392755e-03,7.474110615263038215e-02
1.435588844373299599e+09,8.019874573913016169e-02,5.259430951518137554e-03,7.493931478761202414e-02
1.435588844623299599e+09,7.903289800342204463e-02,3.930736516421645677e-03,7.510216148700039895e-02
1.435588844873299599e+09,7.696968755397934348e-02,1.738121902277026121e-03,7.523156565170231735e-02
1.435588845123299599e+09,7.565258365660379458e-02,3.231369739792877560e-04,7.532944668262450683e-02
1.435588845373299599e+09,7.707776855379470937e-02,1.680044573120917373e-03,7.539772398067379200e-02
1.435588845623299599e+09,7.686761331259425734e-02,1.429296365837315341e-03,7.543831694675694199e-02
1.435588845873299599e+09,7.557796903883635953e-02,1.249098289297506659e-04,7.545305920990660886e-02
1.435588846123299599e+09,7.674403006329832966e-02,1.300588751639714102e-03,7.544344131165861556e-02
1.435588846373299599e+09,7.640698863153597142e-02,9.961206098612063187e-04,7.541086802167476510e-02
1.435588846623299599e+09,7.510824810410361707e-02,-2.484960055130908119e-04,7.535674410961670788e-02
1.435588846873299599e+09,7.673736087073385059e-02,1.454886525587645307e-03,7.528247434514620529e-02
1.435588847123299599e+09,7.815692420980378807e-02,2.967460711878824875e-03,7.518946349792496320e-02
1.435588847373299599e+09,7.801000136681270070e-02,2.930885029198027070e-03,7.507911633761467363e-02
1.435588847623299599e+09,7.763997129363278682e-02,2.687133659755674975e-03,7.495283763387711184e-02
1.435588847873299599e+09,7.699993708842736706e-02,2.187904932053438833e-03,7.481203215637392823e-02
1.435588848123299599e+09,7.512927411853723147e-02,4.711694437703195515e-04,7.465810467476691192e-02
1.435588848373299599e+09,7.342116967718459453e-02,-1.071290281533132660e-03,7.449245995871772719e-02
1.435588848623299599e+09,7.307637084204295086e-02,-1.240131935845184552e-03,7.431650277788813541e-02
1.435588848873299599e+09,7.124115157952631838e-02,-2.890486322413496345e-03,7.413163790193981473e-02
1.435588849123299599e+09,7.014805334333039377e-02,-3.791216757204118881e-03,7.393927010053451265e-02
1.435588849373299599e+09,7.173311614524338631e-02,-2.007687998090548764e-03,7.374080414333393507e-02
1.435588849623299599e+09,7.322642012481510310e-02,-3.112246751846986514e-04,7.353764479999980175e-02
1.435588849873299599e+09,7.271587391194696270e-02,-6.153229282468836159e-04,7.333119684019384632e-02
1.435588850123299599e+09,7.234998397020875327e-02,-7.728810633690214038e-04,7.312286503357777467e-02
1.435588850373299599e+09,7.220944458833133961e-02,-7.046095614819669617e-04,7.291405414981330657e-02
1.435588850623299599e+09,7.336720669248966709e-02,6.610377339274914332e-04,7.270616895856217565e-02
1.435588850873299599e+09,7.278046694266790406e-02,2.801140719497913212e-04,7.250035287071811274e-02
1.435588851123299599e+09,7.131616609235490178e-02,-9.805377697481298949e-04,7.229670386210303168e-02
1.435588851373299599e+09,7.241234117475070509e-02,3.172826249798199605e-04,7.209505854977088513e-02
1.435588851623299599e+09,7.204763179618210722e-02,1.523782454065369940e-04,7.189525355077557023e-02
1.435588851873299599e+09,7.073664112034884488e-02,-9.604843618222225210e-04,7.169712548217106740e-02
1.435588852123299599e+09,7.231902412518133316e-02,8.185131641700177374e-04,7.150051096101131543e-02
1.435588852373299599e+09,7.325345414300556135e-02,1.948207538655349902e-03,7.130524660435021145e-02
1.435588852623299599e+09,7.134119063226189439e-02,2.300216030201723827e-04,7.111116902924172201e-02
1.435588852873299599e+09,6.981588683557299335e-02,-1.102228017166778651e-03,7.091811485273977200e-02
1.435588853123299599e+09,7.117361385972506560e-02,4.476931678267376258e-04,7.072592069189832797e-02
1.435588853373299599e+09,7.136071079448468024e-02,8.262876307134070508e-04,7.053442316377127319e-02
1.435588853623299599e+09,7.133499182391424276e-02,9.915329385016269370e-04,7.034345888541261582e-02
1.435588853873299599e+09,7.188455181250988368e-02,1.731687338633658424e-03,7.015286447387622526e-02
1.435588854123299599e+09,6.839060009924377570e-02,-1.571876446972320096e-03,6.996247654621609580e-02
1.435588854373299599e+09,6.698843296120669810e-02,-2.783698758279426477e-03,6.977213171948612458e-02
1.435588854623299599e+09,6.850777862709217514e-02,-1.073887983648089128e-03,6.958166661074026427e-02
1.435588854873299599e+09,6.890551347308027097e-02,-4.854043639522104270e-04,6.939091783703248140e-02
1.435588855123299599e+09,6.959090372031333238e-02,3.911817048966731436e-04,6.919972201541665924e-02
1.435588855373299599e+09,6.721974933514540673e-02,-1.788166427801371472e-03,6.900791576294677820e-02
1.435588855623299599e+09,6.459052933908090988e-02,-4.224806357595839446e-03,6.881533569667674932e-02
1.435588855873299599e+09,6.763877669152711103e-02,-9.831410496076858907e-04,6.862191774113479692e-02
1.435588856123299599e+09,6.884709889963598617e-02,4.191038488899068160e-04,6.842799505074607935e-02
1.435588856373299599e+09,6.745200563182508768e-02,-7.819944555849944745e-04,6.823400008741008216e-02
1.435588856623299599e+09,6.873239790881185973e-02,6.920325957856521271e-04,6.804036531302620761e-02
1.435588856873299599e+09,6.956228481983382783e-02,1.714761630339886600e-03,6.784752318949394123e-02
1.435588857123299599e+09,6.803391164838538951e-02,3.780054696726348196e-04,6.765590617871275469e-02
1.435588857373299599e+09,6.780785344818567040e-02,3.419067056036478869e-04,6.746594674258202251e-02
1.435588857623299599e+09,6.898913806671901072e-02,1.711060723717752752e-03,6.727807734300125797e-02
1.435588857873299599e+09,6.734309213406426686e-02,2.503616921943896401e-04,6.709273044186987722e-02
1.435588858123299599e+09,6.710093231398016334e-02,1.905938128928252873e-04,6.691033850108733805e-02
1.435588858373299599e+09,6.627745634969252342e-02,-4.538776328605748089e-04,6.673133398255309823e-02
1.435588858623299599e+09,6.388772517575248833e-02,-2.668424172414127216e-03,6.655614934816661554e-02
1.435588858873299599e+09,6.569485354309484437e-02,-6.903635167324756461e-04,6.638521705982732002e-02
1.435588859123299599e+09,6.838317219865092111e-02,2.164202619216265555e-03,6.621896957943465556e-02
1.435588859373299599e+09,6.579577196913863335e-02,-2.620673997494327168e-04,6.605783936888806607e-02
1.435588859623299599e+09,6.273568529218752354e-02,-3.166573597899513537e-03,6.590225889008703708e-02
1.435588859873299599e+09,6.335990693929659245e-02,-2.392753665634433924e-03,6.575266060493102638e-02
1.435588860123299599e+09,6.800287191797720066e-02,2.393394942657792179e-03,6.560947697531940848e-02
1.435588860373299599e+09,6.763110751768773576e-02,2.157967054536039098e-03,6.547314046315169667e-02
1.435588860623299599e+09,6.585083961145186959e-02,5.067560811245624963e-04,6.534408353032730710e-02
1.435588860873299599e+09,6.614169706838739227e-02,9.191569345158162596e-04,6.522254013387157601e-02
1.435588861123299599e+09,6.279158384106282853e-02,-2.316366370250483309e-03,6.510795021131331184e-02
1.435588861373299599e+09,6.151113319352228409e-02,-3.488422001784875770e-03,6.499955519530715986e-02
1.435588861623299599e+09,6.350614771730189734e-02,-1.390448801205854124e-03,6.489659651850775146e-02
1.435588861873299599e+09,6.528350435377201777e-02,4.851887402022164730e-04,6.479831561356980130e-02
1.435588862123299599e+09,6.633432403013352074e-02,1.630370116985552231e-03,6.470395391314796851e-02
1.435588862373299599e+09,6.442464377678083776e-02,-1.881090731160467433e-04,6.461275284989688450e-02
1.435588862623299599e+09,6.497284325883011247e-02,4.488894023588901883e-04,6.452395385647122228e-02
1.435588862873299599e+09,6.753317931451624512e-02,3.096380948990604121e-03,6.443679836552564100e-02
1.435588863123299599e+09,6.696823846887109410e-02,2.617710659156238795e-03,6.435052780971485531e-02
1.435588863373299599e+09,6.358688788743539766e-02,-6.774957342580434361e-04,6.426438362169344110e-02
1.435588863623299599e+09,6.336811720245012769e-02,-8.094900316659991990e-04,6.417760723411612689e-02
1.435588863873299599e+09,6.317237135928230329e-02,-9.170687203552546629e-04,6.408944007963755796e-02
1.435588864123299599e+09,6.173355932043254890e-02,-2.265564270479858422e-03,6.399912359091240732e-02
1.435588864373299599e+09,6.175797207803967320e-02,-2.147927122555619295e-03,6.390589920059529250e-02
1.435588864623299599e+09,6.204213860398725272e-02,-1.766869737353675418e-03,6.380900834134092814e-02
1.435588864873299599e+09,6.335210268019272895e-02,-3.555897656112444460e-04,6.370769244580397339e-02
1.435588865123299599e+09,6.236079755437619332e-02,-1.240395392262852448e-03,6.360119294663904577e-02
1.435588865373299599e+09,5.920468808671425914e-02,-4.284063189786614656e-03,6.348875127650087380e-02
1.435588865623299599e+09,5.963908371704299688e-02,-3.730525151001064244e-03,6.336960886804406112e-02
1.435588865873299599e+09,6.295814172913229145e-02,-2.857847720986322893e-04,6.324392650123092374e-02
1.435588866123299599e+09,6.393850997239439171e-02,8.229676271401947796e-04,6.311554234525419693e-02
1.435588866373299599e+09,6.220169681127795530e-02,-7.875171053362620133e-04,6.298921391661421731e-02
1.435588866623299599e+09,6.186754441593083492e-02,-1.002154315880500468e-03,6.286969873181133539e-02
1.435588866873299599e+09,6.300504491773126214e-02,2.432906103853327284e-04,6.276175430734592942e-02
1.435588867123299599e+09,6.134197688037917179e-02,-1.328161279339178102e-03,6.267013815971834989e-02
1.435588867373299599e+09,6.112306752684933814e-02,-1.476540278579581422e-03,6.259960780542891956e-02
1.435588867623299599e+09,6.069997893602950556e-02,-1.854941824948538875e-03,6.255492076097804444e-02
1.435588867873299599e+09,5.961225083936966262e-02,-2.928583703496356883e-03,6.254083454286601951e-02
1.435588868123299599e+09,6.134987248768891677e-02,-1.212234179904320142e-03,6.256210666759323691e-02
1.435588868373299599e+09,6.281291106019849801e-02,1.894164085384647533e-04,6.262349465166003326e-02
1.435588868623299599e+09,6.268583881739986374e-02,-4.391719416692307920e-05,6.272975601156678682e-02
1.435588868873299599e+09,6.240790426484923298e-02,-4.777439989645734797e-04,6.288564826381380646e-02
1.435588869123299599e+09,6.274158948732723451e-02,-3.543394375742775493e-04,6.309592892490151206e-02
1.435588869373299599e+09,6.452846913884027757e-02,1.163113627510106718e-03,6.336535551133017086e-02
1.435588869623299599e+09,6.658629967135430705e-02,2.887614131754104307e-03,6.369868553960020274e-02
1.435588869873299599e+09,6.771094519392970024e-02,3.610268667717728142e-03,6.410067652621197209e-02
1.435588870123299599e+09,6.720682432030088138e-02,2.630738332635107479e-03,6.457608598766577390e-02
1.435588870373299599e+09,6.446963512620489112e-02,-6.600363142571091801e-04,6.512967144046200030e-02
1.435588870623299599e+09,6.649963161960990854e-02,7.334412185089206337e-04,6.576619040110098791e-02
1.435588870873299599e+09,6.758764268622305393e-02,1.098012795738678715e-03,6.648962989048437522e-02
1.435588871123299599e+09,6.463988525540834140e-02,-2.661009691710444769e-03,6.730089494711878617e-02
1.435588871373299599e+09,6.320378400357275217e-02,-4.996336110339380521e-03,6.820012011391213269e-02
1.435588871623299599e+09,6.409827504632836792e-02,-5.089164887443917151e-03,6.918743993377228507e-02
1.435588871873299599e+09,6.683028026073487005e-02,-3.432708688872326830e-03,7.026298894960719688e-02
1.435588872123299599e+09,7.047858604174778163e-02,-9.483156625769983972e-04,7.142690170432478003e-02
1.435588872373299599e+09,7.204996360003956823e-02,-6.293491407932810811e-04,7.267931274083284932e-02
1.435588872623299599e+09,7.195797736472164807e-02,-2.062379237317751857e-03,7.402035660203939993e-02
1.435588872873299599e+09,7.148901055664018400e-02,-3.961157274212104284e-03,7.545016783085228829e-02
1.435588873123299599e+09,7.003292999810326047e-02,-6.935950972076179721e-03,7.696888097017944019e-02
1.435588873373299599e+09,6.928421178351733267e-02,-9.292418779411434904e-03,7.857663056292876758e-02
1.435588873623299599e+09,7.118053196857791753e-02,-9.093019183430237073e-03,8.027355115200815461e-02
1.435588873873299599e+09,7.055565708509244083e-02,-1.150412019523305851e-02,8.205977728032549934e-02
1.435588874123299599e+09,6.632808203421852733e-02,-1.760736145657020024e-02,8.393544349078872757e-02
1.435588874373299599e+09,6.621274634297170947e-02,-1.968793798333398626e-02,8.590068432630569573e-02
1.435588874623299599e+09,7.210015992686687192e-02,-1.585547440291749932e-02,8.795563432978437124e-02
1.435588874873299599e+09,7.569829435323838229e-02,-1.440213369089426987e-02,9.010042804413265216e-02
1.435588875123299599e+09,7.632117400174533162e-02,-1.601402601051304941e-02,9.233520001225838103e-02
1.435588875373299599e+09,7.895256691649139846e-02,-1.570751786057811294e-02,9.466008477706951141e-02
1.435588875623299599e+09,8.748552325056328793e-02,-9.589693630910653410e-03,9.707521688147394134e-02
1.435588875873299599e+09,1.299971731022428190e-01,3.041830759617762669e-02,9.957886550606519227e-02
1.435588876123299599e+09,2.788300398449161666e-01,1.766682014627368180e-01,1.021618383821793485e-01
1.435588876373299599e+09,3.843262583215991679e-01,2.795131804427610778e-01,1.048130778788380901e-01
1.435588876623299599e+09,2.280089092779704618e-01,1.204873829129073648e-01,1.075215263650630970e-01
1.435588876873299599e+09,9.260275703325210328e-02,-1.767336917662398754e-02,1.102761262098760908e-01
1.435588877123299599e+09,8.907132616314297757e-02,-2.399449361915582946e-02,1.130658197822988070e-01
